Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,27.573000,27.750000,27.525999,27.591999,26.198719,417000
2019-01-17,27.528000,27.858999,27.469000,27.773001,26.370579,383000
2019-01-18,27.996000,28.181999,27.822001,28.056999,26.640240,771000
2019-01-22,27.903000,27.927000,27.334999,27.570000,26.177832,822000
2019-01-23,27.693001,27.767000,27.290001,27.523001,26.133200,343000
2019-01-24,27.625000,27.715000,27.548000,27.683001,26.285124,212000
2019-01-25,27.924999,28.129999,27.849001,28.021000,26.606056,338000
2019-01-28,27.811001,27.811001,27.527000,27.773001,26.370579,451000
2019-01-29,27.750000,27.768999,27.476999,27.552000,26.160734,204000
2019-01-30,27.736000,28.198999,27.677999,28.108999,26.689615,363000
2019-01-31,28.250000,28.600000,28.247000,28.549999,27.108345,509000
2019-02-01,28.448999,28.618000,28.384001,28.455999,27.019091,441000
2019-02-04,28.412001,28.777000,28.412001,28.777000,27.323885,353000
2019-02-05,28.844000,29.040001,28.802999,29.004999,27.540369,696000
2019-02-06,29.028999,29.059000,28.813000,28.895000,27.435925,648000
2019-02-07,28.795000,28.795000,28.375000,28.590000,27.146330,513000
2019-02-08,28.315001,28.622000,28.295000,28.601000,27.156769,324000
2019-02-11,28.753000,28.787001,28.625000,28.714001,27.264063,333000
2019-02-12,28.889000,29.114000,28.830999,29.097000,27.627722,374000
2019-02-13,29.139000,29.278000,29.075001,29.108000,27.638166,487000
2019-02-14,28.966000,29.237000,28.962000,29.139999,27.668552,266000
2019-02-15,29.309999,29.389999,29.191999,29.292000,27.812876,293000
2019-02-19,29.278999,29.481001,29.250000,29.382000,27.898331,403000
2019-02-20,29.430000,29.497999,29.283001,29.409000,27.923967,362000
2019-02-21,29.365000,29.386999,29.180000,29.247999,27.771091,470000
2019-02-22,29.382999,29.539000,29.358000,29.539000,28.047403,378000
2019-02-25,29.775999,29.846001,29.620001,29.620001,28.124315,533000
2019-02-26,29.549000,29.711000,29.542000,29.612000,28.116714,238000
2019-02-27,29.504999,29.666000,29.400000,29.608000,28.112921,247000
2019-02-28,29.613001,29.697001,29.492001,29.542000,28.050245,187000
2019-03-01,29.796000,29.834000,29.614000,29.809999,28.304718,293000
2019-03-04,29.992001,29.999001,29.437000,29.761999,28.259138,469000
2019-03-05,29.716000,29.813999,29.625000,29.795000,28.290474,219000
2019-03-06,29.722000,29.752001,29.450001,29.450001,27.962898,432000
2019-03-07,29.417000,29.417000,29.032000,29.107000,27.637215,979000
2019-03-08,28.781000,29.084000,28.719999,29.066999,27.599237,625000
2019-03-11,29.228001,29.700001,29.176001,29.700001,28.200275,453000
2019-03-12,29.795000,29.900000,29.708000,29.795000,28.290474,315000
2019-03-13,29.948000,30.164000,29.899000,30.027000,28.510763,561000
2019-03-14,30.101000,30.101000,29.965000,29.978001,28.464233,285000
2019-03-15,30.048000,30.235001,30.014999,30.100000,28.642178,609000
2019-03-18,30.149000,30.299999,30.073000,30.233000,28.768736,280000
2019-03-19,30.396000,30.444000,30.180000,30.277000,28.810606,430000
2019-03-20,30.316000,30.469999,30.100000,30.313000,28.844858,312000
2019-03-21,30.254999,30.778000,30.247000,30.737000,29.248331,394000
2019-03-22,30.676001,30.676001,29.952000,30.002001,28.548927,867000
2019-03-25,29.848000,30.021000,29.728001,29.910999,28.462330,490000
2019-03-26,30.159000,30.312000,29.957001,30.117001,28.658354,330000
2019-03-27,30.176001,30.183001,29.674000,29.892000,28.444250,241000
2019-03-28,29.937000,30.087999,29.834999,30.045000,28.589846,167000
2019-03-29,30.246000,30.285000,30.115000,30.267000,28.801094,446000
2019-04-01,30.566000,30.680000,30.452999,30.680000,29.194090,534000
2019-04-02,30.679001,30.768000,30.600000,30.760000,29.270212,379000
2019-04-03,30.900000,31.093000,30.851000,30.899000,29.402483,399000
2019-04-04,30.981001,31.044001,30.747000,30.940001,29.441496,328000
2019-04-05,31.040001,31.146000,31.000000,31.141001,29.632759,452000
2019-04-08,31.108000,31.187000,30.927000,31.187000,29.676535,377000
2019-04-09,31.113001,31.129000,30.959999,30.959999,29.460524,303000
2019-04-10,31.044001,31.226000,31.035000,31.226000,29.713642,254000
2019-04-11,31.225000,31.238001,31.105000,31.125999,29.618486,233000
2019-04-12,31.238001,31.330000,31.214001,31.290001,29.774542,270000
2019-04-15,31.291000,31.346001,31.122999,31.295000,29.779301,219000
2019-04-16,31.311001,31.437000,31.295000,31.375999,29.856373,285000
2019-04-17,31.488001,31.556999,31.267000,31.348000,29.829731,256000
2019-04-18,31.410000,31.410000,31.180000,31.382000,29.862087,373000
2019-04-22,31.292999,31.455999,31.223000,31.443001,29.920134,279000
2019-04-23,31.447001,31.865000,31.447001,31.836000,30.294102,330000
2019-04-24,31.900999,31.934000,31.753000,31.813999,30.273163,350000
2019-04-25,31.910000,31.938999,31.719000,31.853001,30.310280,291000
2019-04-26,31.822001,31.926001,31.617001,31.926001,30.379740,357000
2019-04-29,31.980000,32.084000,31.924999,32.016998,30.466330,428000
2019-04-30,31.856001,31.879000,31.563000,31.819000,30.277922,480000
2019-05-01,31.983000,31.999001,31.600000,31.625000,30.093319,427000
2019-05-02,31.631001,31.799999,31.330000,31.541000,30.013388,435000
2019-05-03,31.708000,32.067001,31.708000,32.028000,30.476803,309000
2019-05-06,31.528999,31.950001,31.448999,31.934999,30.388306,526000
2019-05-07,31.614000,31.749001,31.035999,31.322001,29.804995,778000
2019-05-08,31.173000,31.445000,31.138000,31.246000,29.732674,567000
2019-05-09,30.987000,31.159000,30.628000,31.094000,29.588037,642000
2019-05-10,30.906000,31.218000,30.492001,31.131001,29.623247,647000
2019-05-13,30.476999,30.500000,29.951000,30.077000,28.620295,1448000
